번호,CardId,카드명,코스트,타입,레어도,타겟,기본 효과,강화 효과,강화 차이 요약
25,WALKING_FIRE,워킹 파이어,1,Attack,Uncommon,AnyEnemy,각인 3소모. 격발 2회. 마지막 발사 성공 시 추적탄 1발 장전.,각인 3소모. 격발 3회. 마지막 발사 성공 시 추적탄 1발 장전.,격발 증가
26,BLANK_FIRE,블랭크 파이어,0,Skill,Uncommon,,각인 2소모. 사냥개시 상태가 됩니다. 격발 1회.,각인 1소모. 사냥개시 상태가 됩니다. 격발 1회.,각인 소모 감소
27,SEAL_SEARCH,봉인 추적,1,Skill,Uncommon,,카드를 2장 뽑습니다. 가장 높은 레벨의 봉인탄을 발사 칸으로 이동시킵니다.,카드를 3장 뽑습니다. 가장 높은 레벨의 봉인탄을 발사 칸으로 이동시킵니다.,뽑기 증가
28,SEAL_AMPLIFY,봉인 증폭,1,Skill,Uncommon,,봉인탄 1발을 선택해 레벨을 3 올립니다.,장전된 모든 봉인탄의 레벨을 4 올립니다.,전체 대상으로 변경
29,SEAL_RESONANCE,봉인 공명,1,Attack,Uncommon,AnyEnemy,가장 높은 봉인탄 레벨의 2배 피해.,가장 높은 봉인탄 레벨의 2배 피해. (0코스트),0코스트
30,EMPTY_THE_MAGAZINE,탄창 비우기,1,Skill,Uncommon,,탄환을 모두 제거합니다. 제거한 수만큼 뽑습니다. 이번 턴 더 이상 카드를 뽑을 수 없습니다.,탄환을 모두 제거합니다. 제거한 수만큼 뽑습니다. 이번 턴 더 이상 카드를 뽑을 수 없습니다.,동일
32,OVERCLOCK_DRUM,오버클록 드럼,2,Power,Rare,,지속: 매 턴 첫 추적탄 발사 시 방아쇠 1회 추가로 당깁니다.,지속: 매 턴 첫 추적탄 발사 시 방아쇠 1회 추가로 당깁니다.,동일
33,OVERCLOCK_CHARGE,오버클록 장약,3,Power,Rare,,지속: 한 턴에 3번째 발사 성공 시 에너지를 1 획득.,지속: 한 턴에 3번째 발사 성공 시 에너지를 1 획득. 선천성.,선천성 추가
34,EXECUTION_SHOT,처형 사격,2,Attack,Rare,AnyEnemy,격발 1회. 대상 체력이 절반 이하면 피해 2배. 각인 3 획득.,격발 1회. 대상 체력이 절반 이하면 피해 3배. 각인 3 획득.,동일
35,IMPRINT_IGNITION,각인 점화,2,Power,Rare,,지속: 각인 소비 사격 피해량 +1.,지속: 각인 소비 사격 피해량 +2.,수치 증가
37,SEAL_RITE,봉인 장약,1,Power,Rare,,지속: 턴 시작 시 봉인탄이 장전되어 있으면 봉인 레벨을 1 올리고 다음 봉인 사격 피해 +3을 저장합니다.,지속: 턴 시작 시 봉인탄이 장전되어 있으면 봉인 레벨을 1 올리고 다음 봉인 사격 피해 +3을 저장합니다.,선천성 추가
38,SEAL_OPEN,봉인 개방,1,Skill,Rare,,가장 높은 레벨의 봉인탄을 발사 칸으로 이동시킵니다.,가장 높은 레벨의 봉인탄을 발사 칸으로 이동시킵니다. 그 봉인탄 레벨을 2 올립니다.,레벨 상승 추가
39,SEAL_RELEASE_KAI,봉인 해방: 개,3,Attack,Rare,AnyEnemy,장전된 봉인탄을 격발합니다. 해당 봉인탄을 2번 발사.,장전된 봉인탄을 격발합니다. 해당 봉인탄을 2번 발사. 보존.,보존 추가
40,SEAL_RAMPAGE,봉인 폭주,0,Skill,Rare,,봉인탄 필요. 봉인 레벨을 절반으로 만들고 에너지 1 회복.,봉인탄 필요. 봉인 레벨을 절반으로 만들고 에너지 1 회복.,동일
41,SEAL_INSIGHT,봉인 통찰,1,Skill,Rare,,카드 {Draw}장을 뽑습니다. 봉인탄이 장전되어 있으면 +1. 봉인 레벨이 7 이상이면 추가로 +1 뽑습니다.,카드 {Draw}장을 뽑습니다. 봉인탄이 장전되어 있으면 +1. 봉인 레벨이 7 이상이면 추가로 +1 뽑습니다.,동일
42,SEAL_BARRIER,봉인 방벽,0,Skill,Rare,Self,방어도 5. 봉인탄 있으면 봉인 레벨 × 2 방어도 추가 획득.,방어도 5. 봉인탄 있으면 봉인 레벨 × 2 방어도 추가 획득.,코스트 감소
